time,open,high,low,close,volume
09:30,1.61,1.61,1.6,1.61,2116
09:31,1.58,1.58,1.58,1.58,409
09:32,1.58,1.59,1.58,1.59,400
09:33,1.58,1.6,1.58,1.6,1209
09:46,1.59,1.6,1.59,1.6,1000
09:49,1.5532,1.582,1.5532,1.582,549
09:54,1.57,1.57,1.57,1.57,400
09:55,1.55,1.57,1.55,1.55,1100
09:58,1.535,1.55,1.535,1.55,201
10:07,1.535,1.535,1.535,1.535,100
10:53,1.53,1.53,1.53,1.53,338
11:03,1.555,1.59,1.555,1.58,1748
12:03,1.5301,1.5301,1.5301,1.5301,100
13:06,1.57,1.57,1.55,1.55,500
14:16,1.54,1.54,1.54,1.54,124
14:22,1.5334,1.5334,1.5334,1.5334,501
15:00,1.54,1.54,1.54,1.54,600
15:18,1.54,1.54,1.54,1.54,365
15:41,1.56,1.56,1.56,1.56,100
15:47,1.555,1.555,1.555,1.555,112
15:52,1.55,1.55,1.54,1.55,965
