time,open,high,low,close,volume
09:30,7.78,7.86,7.655,7.7,573315
09:31,7.7099,7.72,7.58,7.61,259449
09:32,7.62,7.63,7.52,7.615,205323
09:33,7.62,7.71,7.62,7.64,156822
09:34,7.645,7.645,7.55,7.5635,125090
09:35,7.5698,7.59,7.501,7.5089,154297
09:36,7.51,7.55,7.5,7.53,254305
09:37,7.535,7.57,7.525,7.54,107211
09:38,7.545,7.555,7.485,7.4958,96006
09:39,7.49,7.5108,7.45,7.51,116340
09:40,7.51,7.52,7.475,7.475,58902
09:41,7.47,7.55,7.47,7.52,92617
09:42,7.525,7.5826,7.525,7.575,156116
09:43,7.57,7.5861,7.54,7.54,45641
09:44,7.5388,7.56,7.52,7.545,155309
09:45,7.545,7.5458,7.4824,7.4835,29504
09:46,7.49,7.54,7.48,7.49,37940
09:47,7.5,7.5261,7.47,7.4707,85424
09:48,7.4899,7.54,7.48,7.5346,49357
09:49,7.54,7.5688,7.531,7.5512,84085
09:50,7.555,7.57,7.5435,7.56,42633
09:51,7.555,7.59,7.54,7.58,60986
09:52,7.585,7.5857,7.5211,7.55,57454
09:53,7.54,7.565,7.535,7.5491,18879
09:54,7.55,7.555,7.53,7.54,34592
09:55,7.535,7.5383,7.4642,7.4646,106998
09:56,7.4688,7.5,7.455,7.4699,37554
09:57,7.46,7.47,7.44,7.44,61957
09:58,7.43,7.46,7.43,7.46,35872
09:59,7.455,7.475,7.45,7.455,22435
10:00,7.46,7.465,7.41,7.415,56139
10:01,7.41,7.425,7.3901,7.4,185958
10:02,7.405,7.4472,7.4,7.435,44831
10:03,7.43,7.47,7.42,7.4612,52361
10:04,7.46,7.4885,7.46,7.4699,53151
10:05,7.47,7.47,7.435,7.44,46530
10:06,7.435,7.44,7.4,7.43,118928
10:07,7.425,7.425,7.39,7.3946,95717
10:08,7.4,7.4275,7.395,7.4135,138541
10:09,7.41,7.425,7.402,7.42,34489
10:10,7.43,7.435,7.39,7.39,78104
10:11,7.39,7.39,7.36,7.36,85345
10:12,7.3646,7.38,7.3629,7.3676,88713
10:13,7.37,7.4,7.37,7.3965,86901
10:14,7.395,7.395,7.335,7.3428,142046
10:15,7.34,7.375,7.34,7.355,61760
10:16,7.35,7.3665,7.31,7.3178,60946
10:17,7.31,7.325,7.3,7.31,254685
10:18,7.3129,7.32,7.21,7.2142,546429
10:19,7.215,7.22,7.2,7.21,214009
10:20,7.21,7.29,7.21,7.285,171645
10:21,7.29,7.3,7.25,7.27,166240
10:22,7.27,7.29,7.23,7.23,55168
10:23,7.24,7.24,7.19,7.21,104428
10:24,7.2,7.205,7.17,7.19,182498
10:25,7.19,7.2314,7.19,7.2,69590
10:26,7.2079,7.21,7.17,7.175,183912
10:27,7.18,7.24,7.18,7.225,71652
10:28,7.225,7.2286,7.17,7.175,87073
10:29,7.175,7.19,7.17,7.19,74716
10:30,7.19,7.2086,7.17,7.19,196890
10:31,7.192,7.192,7.14,7.15,119422
10:32,7.15,7.16,7.145,7.1554,109782
10:33,7.155,7.185,7.15,7.18,53249
10:34,7.175,7.1775,7.14,7.165,93219
10:35,7.1674,7.18,7.15,7.155,98759
10:36,7.155,7.22,7.15,7.1856,118084
10:37,7.18,7.195,7.17,7.19,34035
10:38,7.1901,7.21,7.18,7.18,54036
10:39,7.19,7.19,7.1514,7.17,78777
10:40,7.1728,7.2,7.17,7.2,82074
10:41,7.195,7.1968,7.13,7.135,59854
10:42,7.1301,7.16,7.1301,7.135,116710
10:43,7.14,7.15,7.11,7.13,244631
10:44,7.135,7.14,7.12,7.1203,63420
10:45,7.13,7.15,7.1199,7.13,134611
10:46,7.125,7.13,7.11,7.12,28347
10:47,7.12,7.126,7.09,7.1201,200748
10:48,7.125,7.1286,7.0832,7.0832,229529
10:49,7.09,7.129,7.09,7.115,124417
10:50,7.115,7.12,7.105,7.105,37573
