time,open,high,low,close,volume
09:30,8.23,8.23,8.23,8.23,145
09:35,8.0998,8.0998,8.0998,8.0998,195
09:44,8.1606,8.1606,8.1606,8.1606,100
09:49,8.19,8.19,8.19,8.19,200
09:55,8.215,8.215,8.215,8.215,250
10:04,8.1801,8.1801,8.1801,8.1801,107
10:10,8.195,8.195,8.195,8.195,195
10:11,8.195,8.195,8.195,8.195,100
10:16,8.19,8.19,8.19,8.19,502
10:23,8.19,8.19,8.18,8.18,398
10:26,8.18,8.18,8.18,8.18,500
10:44,8.085,8.085,8.085,8.085,100
10:51,8.055,8.055,8.055,8.055,700
11:23,8.1,8.1,8.1,8.1,330
11:45,8.13,8.14,8.13,8.14,1501
11:49,8.16,8.1999,8.125,8.1799,3000
11:52,8.135,8.135,8.135,8.135,200
12:05,8.1343,8.1343,8.1343,8.1343,200
12:07,8.16,8.16,8.16,8.16,255
13:21,8.135123,8.135123,8.135123,8.135123,200
13:22,8.09,8.16,8.09,8.16,1909
13:25,8.15,8.15,8.15,8.15,191
13:26,8.15,8.15,8.15,8.15,300
13:29,8.175,8.175,8.16,8.16,231
13:33,8.14,8.17,8.14,8.17,1869
14:51,8.225,8.225,8.225,8.225,164
15:18,8.23,8.25,8.23,8.249,495
15:33,8.2385,8.2385,8.2385,8.2385,300
15:44,8.23,8.23,8.23,8.23,384
15:49,8.224,8.224,8.224,8.224,122
15:50,8.23,8.23,8.23,8.23,100
