time,open,high,low,close,volume
09:30,1,1,1,1,1832
09:33,0.99,0.99,0.99,0.99,504
09:36,0.963,1,0.963,0.98,325
09:37,0.995,1,0.99,1,3725
09:38,1.01,1.06,1.01,1.06,1680
09:40,1.02,1.04,1.02,1.02,1549
09:43,1.04,1.04,1.04,1.04,401
09:45,1.06,1.1,1.0401,1.1,900
09:46,1.0872,1.0899,1.04,1.0899,844
09:47,1.09,1.09,1.0873,1.0873,1135
09:49,1.06,1.06,1.04,1.04,880
09:50,1.07,1.07,1.0695,1.0695,1720
09:51,1.0698,1.07,1.0698,1.07,603
09:52,1.07,1.08,1.07,1.08,1018
09:53,1.07,1.08,1.07,1.08,1428
09:54,1.0791,1.0791,1.0791,1.0791,270
09:55,1.08,1.08,1.08,1.08,185
09:57,1.1,1.1,1.0802,1.0916,1800
09:58,1.0801,1.0892,0.955,0.995,12934
09:59,1.02,1.02,1.02,1.02,145
10:00,1.0101,1.0101,1.0101,1.0101,2767
10:01,1.02,1.02,0.98,1.01,3991
10:02,0.97,0.974486,0.97,0.97,2336
10:03,0.97,0.97,0.97,0.97,290
10:05,0.9702,0.9702,0.9702,0.9702,122
10:06,0.9942,1.04,0.9942,1.01,429
10:07,1.01,1.03,1.01,1.03,380
10:08,1.03,1.03,1.03,1.03,180
10:09,1.0894,1.0894,1.0894,1.0894,100
10:10,1.04,1.04,1.04,1.04,233
10:12,1.08,1.08,1.08,1.08,501
10:13,1.03,1.0301,0.982,1.03,10210
10:14,1,1.009,0.98,1.009,2600
10:17,1.01,1.04,1,1,3661
10:21,1.02,1.03,1.02,1.02,500
10:22,0.9921,0.9921,0.9921,0.9921,642
10:23,1.04,1.0401,1.02,1.02,960
10:26,1,1,0.955,0.955,2861
10:27,0.93,0.93,0.9257,0.9257,21558
10:30,0.9704,0.9704,0.97,0.97,1350
10:32,1.02,1.02,1.02,1.02,400
10:39,1.01,1.01,1.01,1.01,662
10:43,1.01,1.02,1.01,1.02,500
10:48,1,1,0.932,0.932,1780
10:49,0.9828,0.9911,0.9828,0.9911,200
10:52,1.01,1.01,1.01,1.01,510
10:57,1.03,1.03,1.03,1.03,500
10:59,1,1,1,1,400
11:00,0.98,0.98,0.98,0.98,493
11:03,1.02,1.02,1.02,1.02,780
11:06,1.02,1.02,1.02,1.02,510
11:11,1.04,1.04,1.02,1.02,301
11:14,1.02,1.02,1.02,1.02,526
11:18,1.02,1.02,1.02,1.02,400
11:25,1.03,1.03,1.03,1.03,639
11:31,1.04,1.04,1.03,1.03,500
11:35,1.015,1.04,1.015,1.04,2150
11:38,1.03,1.03,1.03,1.03,600
11:45,0.9901,0.9901,0.9901,0.9901,150
11:46,1.01,1.04,1.01,1.038,600
11:51,0.9952,0.9952,0.9952,0.9952,141
11:53,1.04,1.04,1.03,1.04,2223
12:00,1.04,1.04,1.04,1.04,600
12:03,1.03,1.04,1.025,1.03,1000
12:06,1.04,1.04,1.04,1.04,829
12:08,1.018959,1.02,1.003,1.003,5066
12:14,1.02,1.03,1.02,1.03,301
12:16,1.04,1.04,1.025,1.025,599
12:19,1.01,1.01,1.01,1.01,500
12:22,1.05,1.05,1.05,1.05,300
12:31,1.04,1.04,1.04,1.04,700
12:34,1.0134,1.0134,1.0134,1.0134,501
12:37,1.04,1.04,1.04,1.04,501
12:42,1.04,1.04,1.04,1.04,400
12:46,1.03,1.03,1.03,1.03,550
12:49,1.02,1.02,1.02,1.02,260
12:50,1.03,1.03,1.0206,1.0206,419
12:57,1.04,1.05,1.04,1.05,500
13:05,1.04,1.05,1.04,1.05,600
13:12,1.0103,1.0103,1.0103,1.0103,160
13:13,1.04,1.04,1.04,1.04,600
13:18,1.0227,1.0227,1.01,1.0145,3900
13:19,1.0223,1.0223,1.01,1.01,3300
13:26,1.04,1.04,1.014,1.014,793
13:36,1.04,1.04,1,1,836
13:41,1.04,1.04,1.02,1.02,400
13:42,0.99,0.99,0.99,0.99,100
13:48,1.04,1.04,1.02,1.02,400
13:57,1.04,1.04,1.02,1.02,600
14:02,0.9901,0.9901,0.9901,0.9901,100
14:04,1.03,1.04,1.03,1.03,500
14:10,0.9905,0.9905,0.9905,0.9905,100
14:11,1.03,1.04,1.03,1.04,500
14:17,1.03,1.03,1.03,1.03,432
14:25,1.02,1.04,1.02,1.04,700
14:31,1.02,1.02,1.01,1.01,700
14:37,1.03,1.03,1.03,1.03,400
14:46,1.03,1.03,1.03,1.03,600
14:53,1.03,1.03,1.03,1.03,600
14:59,1.02,1.02,1.02,1.02,100
15:01,1.04,1.04,1.04,1.04,592
15:11,1.04,1.04,1.04,1.04,571
15:19,1.01,1.03,1.01,1.03,666
15:20,1.01,1.01,1.01,1.01,500
15:30,1.02,1.02,1.02,1.02,451
15:31,1.015,1.015,1.015,1.015,296
15:38,1.02,1.02,1.02,1.02,622
15:41,1.0207,1.0207,1.01,1.01,753
15:43,1,1,1,1,218
15:53,0.98,0.98,0.95,0.9725,792
15:54,0.9369,0.9369,0.9369,0.9369,619
15:55,0.915,0.9181,0.915,0.917858,591
15:57,0.9037,0.9037,0.9018,0.9018,323
15:58,0.8677,0.8677,0.8677,0.8677,317
15:59,0.8711,0.8711,0.7804,0.8179,2363
