time,open,high,low,close,volume
09:30,3.3,3.331,3.259,3.279,2960.9
09:31,3.28,3.28,3.28,3.28,549.3
09:32,3.28,3.28,3.28,3.28,531.8
09:33,3.299,3.299,3.2795,3.2795,174
09:34,3.28,3.28,3.28,3.28,31.6
09:35,3.26,3.27,3.26,3.26,400.1
09:36,3.279,3.279,3.269,3.275,254.8
09:37,3.269,3.278,3.269,3.278,824.8
09:38,3.276,3.277,3.276,3.277,890
09:39,3.276,3.278,3.256,3.278,3040.7
09:40,3.253,3.253,3.251,3.251,38.8
09:41,3.251,3.251,3.251,3.251,13.1
09:42,3.265,3.265,3.251,3.251,132.5
09:44,3.2675,3.2731,3.2675,3.2731,112.6
09:45,3.275,3.275,3.2605,3.2605,569.1
09:46,3.261,3.2695,3.2605,3.2695,434
09:47,3.279,3.279,3.278,3.278,77.4
09:49,3.273,3.273,3.269,3.269,36.7
09:50,3.278,3.278,3.278,3.278,22
09:52,3.272,3.279,3.26,3.279,690.7
09:56,3.26,3.264,3.26,3.264,59.9
09:57,3.252,3.252,3.25,3.25,1854.3
09:58,3.251,3.251,3.25,3.25,172.9
09:59,3.239,3.243,3.239,3.243,206.3
10:00,3.25,3.251,3.247,3.251,6467.5
10:03,3.2435,3.244,3.2435,3.244,129.4
10:04,3.244,3.244,3.243,3.243,822.8
10:05,3.246,3.246,3.246,3.246,15.8
10:06,3.246,3.246,3.246,3.246,32.5
10:08,3.246,3.246,3.245,3.245,135.6
10:11,3.244,3.244,3.2435,3.244,1219.2
10:12,3.243,3.243,3.243,3.243,13.6
10:13,3.2435,3.244,3.2435,3.244,242.2
10:16,3.243,3.243,3.243,3.243,71
10:17,3.2435,3.2435,3.2435,3.2435,90
10:18,3.244,3.244,3.237,3.24,99.3
10:20,3.235,3.242,3.235,3.239,402
10:21,3.24,3.243,3.24,3.243,40.7
10:23,3.24,3.24,3.21,3.21,3036.7
10:25,3.21,3.225,3.21,3.222,446.4
10:27,3.21,3.21,3.21,3.21,401.4
10:28,3.2215,3.229,3.2215,3.229,40
10:30,3.21,3.21,3.136,3.14,10623.3
10:33,3.146,3.148,3.146,3.148,30
10:34,3.1665,3.1665,3.1665,3.1665,19.4
10:35,3.143,3.143,3.143,3.143,52.6
10:36,3.142,3.143,3.142,3.143,105.3
10:37,3.143,3.154,3.143,3.154,60
10:38,3.144,3.156,3.144,3.156,140
10:39,3.145,3.145,3.142,3.142,80.1
10:40,3.14,3.14,3.136,3.14,542.4
10:42,3.14,3.14,3.14,3.14,100
10:45,3.1365,3.1365,3.136,3.136,393.4
10:46,3.137,3.137,3.136,3.136,360.5
10:47,3.136,3.136,3.135,3.135,459.2
10:48,3.127,3.127,3.126,3.126,126.1
10:49,3.124,3.124,3.1,3.112,2083.4
10:50,3.112,3.112,3.112,3.112,97.3
10:52,3.1005,3.127,3.1005,3.103,475.2
10:53,3.104,3.135,3.101,3.104,182.1
10:54,3.104,3.134,3.101,3.105,136.9
10:55,3.101,3.101,3.101,3.101,301.7
10:57,3.129,3.134,3.129,3.134,76.9
11:00,3.1185,3.1185,3.1185,3.1185,105.1
11:01,3.134,3.134,3.134,3.134,25.3
11:02,3.114,3.134,3.103,3.103,139.2
11:03,3.115,3.123,3.115,3.123,154.3
11:04,3.1025,3.1025,3.1025,3.1025,11
11:05,3.102,3.102,3.093,3.099,2279.4
11:06,3.094,3.099,3.094,3.099,125.1
11:08,3.06,3.06,3.06,3.06,39.4
11:10,3.054,3.093,3.0505,3.072,118.2
11:11,3.055,3.086,3.055,3.056,116.6
11:12,3.055,3.086,3.055,3.056,349.9
11:13,3.055,3.056,3.055,3.055,110.4
11:14,3.074,3.093,3.055,3.055,116.2
11:15,3.074,3.094,3.074,3.094,1005.6
11:17,3.074,3.074,3.074,3.074,25.5
11:19,3.074,3.074,3.074,3.074,13.6
11:21,3.094,3.094,3.094,3.094,37.3
11:22,3.0745,3.0745,3.055,3.056,730.4
11:24,3.056,3.074,3.056,3.074,27.3
11:25,3.074,3.074,3.074,3.074,11
11:26,3.073,3.073,3.073,3.073,10.6
11:27,3.093,3.093,3.093,3.093,16.6
11:28,3.0925,3.1,3.092,3.094,4121.6
11:29,3.105,3.105,3.105,3.105,330.3
11:30,3.108,3.108,3.108,3.108,10.3
11:31,3.107,3.107,3.093,3.106,801.7
11:35,3.106,3.106,3.106,3.106,11.3
11:37,3.1065,3.107,3.1065,3.107,1221.6
11:38,3.1065,3.108,3.106,3.108,218.3
11:40,3.127,3.127,3.113,3.125,219.4
11:41,3.125,3.125,3.125,3.125,14.8
11:42,3.1255,3.1255,3.125,3.125,60.6
11:44,3.1255,3.126,3.1255,3.126,330.5
11:45,3.126,3.126,3.126,3.126,100.4
11:46,3.126,3.126,3.126,3.126,41.3
11:47,3.126,3.126,3.126,3.126,100.5
11:48,3.126,3.126,3.126,3.126,71.3
11:50,3.126,3.126,3.115,3.12,212.3
11:51,3.125,3.125,3.107,3.107,100.3
11:52,3.11,3.11,3.108,3.108,75.5
11:53,3.118,3.118,3.118,3.118,100
11:55,3.119,3.131,3.119,3.131,239
11:56,3.132,3.132,3.132,3.132,30
12:01,3.132,3.132,3.132,3.132,20.8
12:02,3.131,3.131,3.131,3.131,10
12:04,3.126,3.126,3.126,3.126,30.2
12:05,3.108,3.108,3.108,3.108,500
12:06,3.131,3.131,3.107,3.108,249.7
12:07,3.117,3.117,3.117,3.117,10.8
12:08,3.111,3.127,3.111,3.127,448
12:09,3.111,3.111,3.111,3.111,10
12:10,3.108,3.127,3.108,3.127,120.2
12:11,3.108,3.108,3.108,3.108,10
12:12,3.108,3.108,3.108,3.108,11
12:13,3.128,3.128,3.108,3.128,638.7
12:14,3.128,3.128,3.12,3.12,120.8
12:16,3.127,3.127,3.127,3.127,639.3
12:18,3.108,3.108,3.107,3.108,1028
12:20,3.127,3.127,3.127,3.127,20.5
12:21,3.127,3.127,3.108,3.126,459.4
12:25,3.1175,3.126,3.1175,3.126,58
12:28,3.128,3.128,3.124,3.128,209.8
12:29,3.109,3.126,3.109,3.126,110
12:33,3.1075,3.1075,3.1075,3.1075,50
12:35,3.108,3.108,3.108,3.108,110.1
12:38,3.108,3.108,3.108,3.108,379.1
12:39,3.107,3.107,3.107,3.107,200.9
12:40,3.108,3.108,3.108,3.108,16.2
12:41,3.1075,3.1075,3.1075,3.1075,47.5
12:44,3.108,3.108,3.108,3.108,10
12:45,3.108,3.108,3.107,3.107,35.5
12:46,3.1075,3.1075,3.1075,3.1075,41
12:47,3.108,3.108,3.1075,3.1075,529.6
12:48,3.107,3.107,3.107,3.107,102.2
12:51,3.108,3.108,3.108,3.108,100.3
12:52,3.108,3.11,3.1075,3.11,300
12:54,3.111,3.111,3.111,3.111,40
12:56,3.11,3.11,3.11,3.11,20
12:57,3.111,3.111,3.111,3.111,10
12:59,3.111,3.111,3.111,3.111,100
13:03,3.111,3.111,3.111,3.111,206.8
13:05,3.111,3.111,3.111,3.111,210
13:06,3.111,3.111,3.111,3.111,12.5
13:07,3.11,3.11,3.107,3.107,140
13:09,3.1075,3.1075,3.1075,3.1075,257.1
13:10,3.1075,3.1075,3.107,3.107,546.8
13:11,3.107,3.107,3.107,3.107,174
13:13,3.107,3.107,3.0735,3.074,1918
13:15,3.074,3.074,3.0735,3.0735,305.3
13:16,3.073,3.073,3.073,3.073,84
13:18,3.073,3.073,3.073,3.073,155
13:21,3.074,3.074,3.074,3.074,100
13:24,3.073,3.0735,3.073,3.0735,210
13:25,3.073,3.073,3.073,3.073,200.1
13:26,3.074,3.074,3.073,3.073,84
13:27,3.074,3.074,3.074,3.074,2000.1
13:29,3.074,3.074,3.0735,3.074,113.5
13:32,3.0735,3.0735,3.073,3.073,23.3
13:33,3.073,3.073,3.055,3.067,460.6
13:35,3.0675,3.0675,3.0675,3.0675,101.1
13:36,3.068,3.068,3.068,3.068,48.9
13:39,3.0675,3.0675,3.0675,3.0675,20.3
13:40,3.067,3.067,3.067,3.067,36.7
13:41,3.067,3.068,3.067,3.068,145
13:42,3.067,3.067,3.067,3.067,30.3
13:45,3.0675,3.0675,3.0675,3.0675,10
13:46,3.0675,3.0675,3.0675,3.0675,93
13:47,3.068,3.068,3.068,3.068,68.8
13:48,3.0675,3.0675,3.0675,3.0675,10
13:49,3.0675,3.0675,3.0675,3.0675,25.1
13:50,3.0675,3.068,3.0675,3.068,61.8
13:51,3.068,3.068,3.068,3.068,137
13:52,3.068,3.097,3.0675,3.097,393.9
13:53,3.097,3.099,3.069,3.08,543.8
13:54,3.073,3.073,3.07,3.07,171.6
13:56,3.069,3.07,3.069,3.07,3242.3
14:00,3.0695,3.07,3.0695,3.07,176.4
14:01,3.07,3.07,3.069,3.069,25.4
14:04,3.07,3.07,3.062,3.062,1088.2
14:05,3.057,3.057,3.054,3.055,599.8
14:07,3.054,3.054,3.027,3.048,792.9
14:08,3.048,3.05,3.048,3.05,587
14:09,3.05,3.05,3.025,3.026,838.9
14:10,3.027,3.047,3.025,3.025,167.5
14:12,3.026,3.026,3.025,3.025,75.6
14:13,3.025,3.026,3.025,3.026,634.9
14:14,3.026,3.026,3.026,3.026,11.5
14:15,3.026,3.026,3.026,3.026,511.4
14:16,3.026,3.026,3.026,3.026,31.2
14:18,3.026,3.026,3.025,3.026,1458.6
14:21,3.026,3.026,3.026,3.026,42.5
14:22,3.026,3.026,3.026,3.026,40.3
14:24,3.025,3.025,3.025,3.025,57.4
14:25,3.0255,3.0255,3.0255,3.0255,10.4
14:26,3.025,3.0255,3.025,3.0255,65
14:27,3.026,3.026,3.026,3.026,10.3
14:28,3.0255,3.0255,3.0255,3.0255,11.8
14:29,3.025,3.0255,3.025,3.0255,160
14:30,3.0255,3.026,3.0255,3.026,70.3
14:31,3.026,3.026,3.026,3.026,31.1
14:32,3.026,3.026,3.026,3.026,66.4
14:33,3.058,3.063,3.058,3.063,30
14:34,3.058,3.058,3.058,3.058,10.4
14:35,3.0545,3.055,3.0545,3.055,140.2
14:38,3.0545,3.055,3.0545,3.055,306.7
14:40,3.055,3.055,3.055,3.055,31.3
14:46,3.055,3.055,3.054,3.055,177.8
14:48,3.055,3.055,3.055,3.055,87.9
14:51,3.055,3.055,3.055,3.055,20.6
14:53,3.054,3.055,3.026,3.055,2197.9
14:55,3.055,3.055,3.055,3.055,19.6
14:57,3.055,3.086,3.055,3.081,290.4
14:59,3.091,3.091,3.091,3.091,10.5
15:01,3.069,3.069,3.069,3.069,30.9
15:02,3.069,3.0699,3.05,3.054,350.2
15:04,3.053,3.053,3.041,3.041,124
15:09,3.041,3.041,3.041,3.041,30.1
15:10,3.041,3.041,3.041,3.041,10.1
15:13,3.0405,3.041,3.0405,3.041,20.4
15:16,3.041,3.041,3.041,3.041,23.9
15:17,3.04,3.041,3.04,3.041,132.1
15:18,3.041,3.041,3.04,3.04,75.2
15:20,3.041,3.05,3.041,3.049,3055.8
15:21,3.049,3.049,3.049,3.049,20.6
15:23,3.05,3.05,3.05,3.05,30.7
15:25,3.05,3.05,3.05,3.05,31.5
15:26,3.05,3.05,3.05,3.05,65.6
15:27,3.05,3.05,3.05,3.05,33.2
15:28,3.05,3.05,3.0495,3.0495,69.3
15:29,3.0495,3.05,3.0495,3.0495,53.6
15:30,3.0495,3.05,3.049,3.049,520.3
15:31,3.0495,3.0495,3.0495,3.0495,30.3
15:32,3.049,3.049,3.026,3.027,5561.5
15:36,3.0265,3.027,3.0175,3.0175,1812.9
15:37,3.0175,3.0175,3.0175,3.0175,31.3
15:38,3.017,3.017,3.012,3.012,140.1
15:40,3.006,3.007,3.006,3.006,832
15:41,3.0065,3.0065,3.0065,3.0065,151.6
15:42,3.007,3.007,3.007,3.007,31.5
15:43,3.007,3.007,3.007,3.007,131.4
15:44,3.007,3.007,3.007,3.007,51.3
15:45,3.0065,3.0065,3.0065,3.0065,710
15:46,3.007,3.007,3.0065,3.0065,242.5
15:47,3.007,3.007,3.007,3.007,14.9
15:48,3.007,3.007,3.007,3.007,76.7
15:50,3.0065,3.007,3.0065,3.007,67.5
15:51,3.0065,3.007,3.0065,3.007,33.5
15:52,3.0065,3.0065,3.006,3.006,82.3
15:53,3.0065,3.007,3.0065,3.007,28.6
15:54,3.007,3.007,3.007,3.007,1035.6
15:55,3.007,3.007,3.007,3.007,383
15:56,3.007,3.007,3.007,3.007,85.8
15:57,3.007,3.007,3.007,3.007,62
15:58,3.007,3.007,3.007,3.007,276
