time,open,high,low,close,volume
09:30,8.07,8.32,8,8.29,387675
09:31,8.29,8.44,8.28,8.44,133441
09:32,8.435,8.46,8.2205,8.265,110925
09:33,8.24,8.34,8.24,8.33,58265
09:34,8.325,8.36,8.29,8.2924,45278
09:35,8.3,8.3,8.2,8.2718,178562
09:36,8.285,8.31,8.2845,8.29,28086
09:37,8.3,8.3,8.26,8.28,72020
09:38,8.272,8.29,8.26,8.275,32270
09:39,8.27,8.285,8.26,8.27,41489
09:40,8.2697,8.29,8.265,8.265,15795
09:41,8.265,8.31,8.26,8.31,46015
09:42,8.305,8.33,8.28,8.325,28527
09:43,8.325,8.38,8.325,8.38,16153
09:44,8.38,8.41,8.36,8.41,45560
09:45,8.41,8.41,8.35,8.3701,20211
09:46,8.38,8.4,8.3703,8.385,12141
09:47,8.385,8.41,8.3825,8.3833,66741
09:48,8.39,8.42,8.38,8.41,34942
09:49,8.41,8.51,8.41,8.51,85270
09:50,8.51,8.51,8.4601,8.49,25952
09:51,8.49,8.5,8.46,8.4691,43545
09:52,8.47,8.48,8.446,8.45,33175
09:53,8.45,8.4601,8.43,8.4601,60763
09:54,8.465,8.495,8.4612,8.4612,27448
09:55,8.46,8.46,8.39,8.391,16569
09:56,8.39,8.41,8.35,8.38,152691
09:57,8.38,8.385,8.31,8.31,383967
09:58,8.31,8.32,8.24,8.25,149427
09:59,8.25,8.3,8.235,8.24,118936
10:00,8.25,8.27,8.22,8.245,41061
10:01,8.25,8.25,8.21,8.225,41330
10:02,8.228,8.35,8.225,8.34,54761
10:03,8.34,8.435,8.3,8.43,120898
10:04,8.43,8.4758,8.425,8.44,93809
10:05,8.432,8.435,8.4,8.4,22957
10:06,8.4,8.4,8.3608,8.37,82457
10:07,8.38,8.39,8.342,8.345,58486
10:08,8.3409,8.351,8.32,8.32,9914
10:09,8.32,8.355,8.32,8.3315,15498
10:10,8.335,8.355,8.32,8.355,21624
10:11,8.355,8.36,8.34,8.34,17652
10:12,8.345,8.345,8.315,8.315,21047
10:13,8.3199,8.34,8.315,8.335,14684
10:14,8.335,8.35,8.325,8.3454,15465
10:15,8.345,8.3658,8.34,8.355,26424
10:16,8.345,8.375,8.335,8.345,61225
10:17,8.35,8.355,8.29,8.315,31175
10:18,8.31,8.31,8.235,8.24,45171
10:19,8.2314,8.235,8.21,8.21,27688
10:20,8.21,8.2409,8.21,8.235,26354
10:21,8.23,8.245,8.22,8.22,29370
10:22,8.22,8.235,8.185,8.19,62175
10:23,8.195,8.195,8.16,8.165,13639
10:24,8.165,8.1681,8.15,8.165,38622
10:25,8.165,8.2,8.13,8.19,44964
10:26,8.18,8.18,8.15,8.165,35250
10:27,8.165,8.22,8.165,8.175,48983
10:28,8.175,8.175,8.15,8.155,8578
10:29,8.155,8.185,8.15,8.175,33325
10:30,8.17,8.185,8.13,8.14,57467
10:31,8.135,8.135,8.075,8.08,76855
10:32,8.075,8.09,8.07,8.07,16403
10:33,8.07,8.075,8.06,8.075,13653
10:34,8.0772,8.0772,8.06,8.0618,30604
10:35,8.06,8.065,7.97,8.035,253363
10:36,8.04,8.075,8.04,8.055,23212
10:37,8.055,8.075,8.055,8.065,12090
10:38,8.065,8.0683,8.03,8.03,27162
10:39,8.035,8.035,8.005,8.015,29616
10:40,8.0197,8.03,8.015,8.03,25508
10:41,8.03,8.03,7.9901,8,46476
10:42,7.995,8.0079,7.995,8.005,16736
10:43,8.005,8.02,7.99,8.015,26198
10:44,8.015,8.02,7.99,7.995,20844
10:45,7.99,7.99,7.955,7.975,29540
10:46,7.975,7.99,7.96,7.98,18118
10:47,7.98,7.98,7.955,7.98,14548
10:48,7.98,7.98,7.955,7.96,16438
10:49,7.965,7.9751,7.965,7.97,16606
10:50,7.965,8.035,7.965,8.005,101648
10:51,8.005,8.0098,7.985,8.005,26597
10:52,8,8.0186,8,8.0186,13348
10:53,8.01,8.025,8.01,8.025,9823
10:54,8.02,8.095,8.02,8.07,34675
10:55,8.08,8.12,8.0725,8.105,27946
10:56,8.105,8.11,8.05,8.06,36562
10:57,8.06,8.065,8.04,8.045,24272
10:58,8.045,8.05,8.025,8.035,18437
10:59,8.035,8.05,8.02,8.05,14431
11:00,8.06,8.115,8.06,8.085,11748
11:01,8.085,8.085,8.0822,8.085,2739
11:02,8.085,8.0993,8.05,8.05,20986
11:03,8.055,8.065,8.055,8.065,2924
11:04,8.065,8.075,8.0628,8.075,7452
11:05,8.07,8.07,8.045,8.05,9717
11:06,8.055,8.08,8.055,8.075,12389
11:07,8.075,8.085,8.075,8.085,3316
11:08,8.085,8.115,8.085,8.105,12995
11:09,8.105,8.11,8.0907,8.105,12989
11:10,8.1,8.1,8.04,8.045,13171
11:11,8.04,8.055,8.025,8.05,12991
11:12,8.045,8.045,8.04,8.04,4410
11:13,8.05,8.055,8.04,8.04,26983
11:14,8.035,8.06,8.035,8.045,59606
11:15,8.045,8.05,8.045,8.045,5080
11:16,8.0481,8.09,8.0481,8.085,32228
11:17,8.09,8.1,8.09,8.09,18066
11:18,8.095,8.105,8.092,8.092,12111
11:19,8.09,8.1,8.085,8.085,9292
11:20,8.0821,8.09,8.0821,8.085,12168
11:21,8.088,8.1,8.07,8.09,39513
11:22,8.09,8.09,8.09,8.09,2190
11:23,8.09,8.09,8.085,8.09,1974
11:24,8.085,8.1,8.075,8.075,25306
11:25,8.075,8.075,8.055,8.06,9645
11:26,8.065,8.065,8.055,8.055,9810
11:27,8.06,8.07,8.055,8.07,21725
11:28,8.08,8.095,8.07,8.095,60845
11:29,8.095,8.1,8.095,8.095,15974
11:30,8.095,8.095,8.075,8.075,6670
11:31,8.075,8.075,8.065,8.065,3130
11:32,8.065,8.08,8.065,8.075,13878
11:33,8.08,8.085,8.08,8.085,15626
11:34,8.08,8.08,8.075,8.075,6946
11:35,8.08,8.085,8.07,8.075,23237
11:36,8.075,8.075,8.065,8.065,3691
11:37,8.07,8.23,8.07,8.22,309467
11:38,8.225,8.23,8.175,8.1773,143558
11:39,8.175,8.2,8.175,8.175,19697
11:40,8.17,8.17,8.15,8.1501,28425
11:41,8.151,8.151,8.145,8.145,6338
11:42,8.145,8.1584,8.145,8.155,83892
11:43,8.155,8.17,8.1349,8.135,89984
11:44,8.135,8.155,8.13,8.155,25955
11:45,8.155,8.155,8.145,8.145,9169
11:46,8.14,8.145,8.105,8.11,31633
11:47,8.11,8.13,8.11,8.12,17287
11:48,8.1242,8.1242,8.115,8.115,8215
11:49,8.115,8.115,8.115,8.115,1709
11:50,8.115,8.115,8.09,8.095,14247
11:51,8.095,8.095,8.09,8.095,3171
11:52,8.095,8.095,8.095,8.095,1512
11:53,8.095,8.095,8.095,8.095,3755
11:54,8.095,8.095,8.09,8.095,3943
11:55,8.095,8.125,8.095,8.12,59570
11:56,8.125,8.125,8.125,8.125,4399
11:57,8.125,8.125,8.125,8.125,2018
11:58,8.1201,8.15,8.1201,8.135,41913
11:59,8.135,8.135,8.135,8.135,1106
12:00,8.135,8.165,8.135,8.155,28779
12:01,8.155,8.155,8.145,8.15,14963
12:02,8.16,8.165,8.155,8.165,4621
12:03,8.165,8.17,8.13,8.13,22219
12:04,8.13,8.145,8.11,8.145,35967
12:05,8.145,8.145,8.145,8.145,2003
12:06,8.15,8.15,8.15,8.15,3633
12:07,8.1503,8.1586,8.1503,8.155,4999
12:08,8.155,8.175,8.155,8.175,37084
12:09,8.175,8.185,8.17,8.185,24223
12:10,8.185,8.19,8.18,8.18,26794
12:11,8.185,8.19,8.185,8.185,4153
12:12,8.19,8.1997,8.18,8.185,13294
12:13,8.185,8.185,8.175,8.18,6882
12:14,8.18,8.18,8.1626,8.165,7984
12:15,8.165,8.175,8.165,8.173,22953
12:16,8.175,8.1799,8.165,8.175,45033
12:17,8.17,8.175,8.17,8.175,7357
12:18,8.17,8.17,8.165,8.17,4992
