time,open,high,low,close,volume
09:30,6.25,6.25,6.25,6.25,1599
09:31,6.08,6.08,6.0061,6.0061,1230
09:41,6.05,6.05,6.05,6.05,103
09:47,6.18,6.18,6.01,6.01,2819
09:48,6.02,6.02,6.02,6.02,430
09:50,5.9999,5.9999,5.9999,5.9999,400
09:56,5.92,5.92,5.92,5.92,105
09:57,5.9005,5.99,5.9005,5.99,726
10:02,6.06,6.06,6.06,6.06,418
10:03,6.0696,6.35,6,6.35,3916
10:04,6.15,6.2111,6.11,6.11,4186
10:05,6.1101,6.215,6.015,6.015,5530
10:44,5.995,5.995,5.91,5.9693,1903
10:55,6.0184,6.0184,6.0184,6.0184,200
10:59,5.9828,5.9828,5.9828,5.9828,100
11:04,5.99,6.04,5.99,6.02,2508
11:16,5.9782,5.9782,5.9782,5.9782,106
11:18,5.9489,5.9489,5.9489,5.9489,325
11:28,5.9639,5.9639,5.9639,5.9639,131
11:41,6,6.05,6,6.05,2500
11:52,5.99,6,5.99,6,2321
12:15,5.987,5.987,5.987,5.987,100
12:25,6.01,6.0299,6.01,6.0299,1318
12:31,6.09,6.09,6.09,6.09,300
12:54,6.0192,6.0192,6.0192,6.0192,600
13:14,6.05,6.05,6.05,6.05,630
13:18,6.0438,6.0438,6.0438,6.0438,470
13:28,6.08,6.08,6.005,6.005,1000
13:34,6.0597,6.0597,6.0597,6.0597,100
13:43,6.03,6.1,6.03,6.055,3844
13:56,6.05,6.05,6.05,6.05,128
14:14,6.08,6.09,6.08,6.09,267
14:25,6.05,6.05,6.05,6.05,3060
14:40,6.05,6.11,6.05,6.065,2651
14:51,6.1,6.1,6.1,6.1,304
14:52,6.06,6.06,6.06,6.06,133
14:58,6.1,6.1,6.1,6.1,2048
15:00,6.11,6.11,6.11,6.11,346
15:06,6.1561,6.1561,6.1561,6.1561,168
15:25,6.02,6.02,6.02,6.02,563
15:30,6.1,6.1,6.1,6.1,100
15:34,6.14,6.14,6.14,6.14,1541
15:35,6.09,6.09,6.09,6.09,240
15:40,6.195,6.195,6.195,6.195,716
15:41,6.12,6.185,6.12,6.185,680
15:43,6.27,6.27,6.27,6.27,211
15:46,6.185,6.27,6.185,6.27,608
15:50,6.11,6.185,6.09,6.09,3001
15:52,6.18,6.18,6.18,6.18,502
15:53,6.07,6.07,6.07,6.07,513
15:55,6.05,6.05,6.05,6.05,692
15:58,6.03,6.03,6.03,6.03,443
15:59,6,6,6,6,2301
09:30,5.99,5.99,5.99,5.99,2724
09:36,6,6,6,6,184
10:17,5.99,5.99,5.99,5.99,1556
10:18,6.0946,6.0946,5.9922,5.9922,1644
10:28,6.3076,6.3076,6.3076,6.3076,145
10:51,6.1709,6.1709,6,6,1118
11:12,6.03,6.03,6,6.01,2411
11:13,5.9,5.9,5.9,5.9,386
11:14,6,6,6,6,208
11:20,5.995,5.995,5.995,5.995,300
11:26,5.995,5.995,5.995,5.995,525
11:36,5.92,5.95,5.9,5.91,2635
11:37,5.95,5.95,5.95,5.95,216
11:45,5.98,5.98,5.98,5.98,439
11:51,5.96,5.96,5.96,5.96,185
11:58,5.9779,5.9779,5.9779,5.9779,1300
12:57,6.02,6.02,6.02,6.02,200
13:08,6.01,6.01,6.01,6.01,145
13:25,6.005,6.005,6.005,6.005,110
13:53,6.04,6.04,5.95,6.04,1257
13:54,6.04,6.04,6.04,6.04,2820
13:55,6.04,6.04,5.95,5.96,4161
13:57,6.04,6.04,6.04,6.04,500
13:58,5.98,5.98,5.98,5.98,100
14:28,5.96,5.96,5.96,5.96,219
14:29,5.95,5.96,5.95,5.95,2244
15:06,5.97,5.97,5.97,5.97,316
15:20,6.1608,6.1608,6.1608,6.1608,500
15:24,6.14,6.14,6.14,6.14,100
15:50,5.92,6.03,5.9,5.92,6272
15:51,5.91,5.91,5.9,5.9,2119
15:52,5.91,5.91,5.91,5.91,968
15:53,5.935,5.935,5.91,5.91,821
15:59,5.9,5.91,5.9,5.9,467
