time,open,high,low,close,volume
09:30,6.98,6.99,6.87,6.9888,135124
09:31,6.99,7.24,6.96,7.1,44623
09:32,7.18,7.48,7.18,7.4,31816
09:33,7.3396,7.48,7.2201,7.35,20054
09:34,7.33,7.45,7.325,7.43,19906
09:35,7.45,7.4899,7.36,7.375,23232
09:36,7.3401,7.43,7.29,7.29,30505
09:37,7.3398,7.375,7.25,7.29,5064
09:38,7.25,7.3116,7.25,7.2993,18004
09:39,7.3,7.35,7.2332,7.272,18324
09:40,7.29,7.29,7.1158,7.229,18784
09:41,7.14,7.15,7.1,7.11,17786
09:42,7.1387,7.1387,7.01,7.08,18261
09:43,7.02,7.21,7.02,7.12,30693
09:44,7.13,7.14,7.01,7.02,11653
09:45,7.13,7.13,7.0558,7.07,8309
09:46,7.02,7.25,7.01,7.15,15400
09:47,7.01,7.238,7.01,7.07,2290
09:48,7.0741,7.12,7.02,7.02,8754
09:49,7.06,7.11,7.055,7.08,13216
09:50,7.078,7.11,7.05,7.05,1704
09:51,7.05,7.0799,7,7.03,9694
09:52,6.99,7.0783,6.86,6.86,21059
09:53,6.935,6.99,6.88,6.99,8851
09:54,6.99,7.01,6.9252,7,6544
09:55,6.9748,7,6.97,6.97,7279
09:56,6.985,6.9999,6.96,6.9999,5212
09:57,6.94,6.9991,6.94,6.97,2492
09:58,6.97,7,6.97,6.9948,3246
09:59,6.98,7,6.95,6.9899,5348
10:00,6.94,6.9892,6.94,6.95,1840
10:01,6.95,6.95,6.91,6.95,23265
10:02,6.955,6.965,6.91,6.965,2035
10:03,6.95,6.979,6.9,6.9547,21622
10:04,6.92,6.955,6.9,6.92,1235
10:05,6.92,6.92,6.8,6.8,14842
10:06,6.825,6.825,6.75,6.76,16178
10:07,6.79,6.85,6.775,6.815,23190
10:08,6.81,6.85,6.8052,6.81,2683
10:09,6.8599,6.8599,6.7501,6.775,1268
10:10,6.77,6.8,6.75,6.76,6091
10:11,6.81,6.83,6.81,6.83,679
10:12,6.84,6.85,6.8,6.82,6915
10:13,6.8396,6.8396,6.8,6.8349,2259
10:14,6.8396,6.868,6.810113,6.868,1941
10:15,6.8985,6.8985,6.8,6.835,5303
10:16,6.8,6.905,6.8,6.905,1118
10:17,6.88,6.905,6.7845,6.82,16521
10:18,6.825,6.8483,6.8001,6.8001,596
10:19,6.825,6.825,6.78,6.78,1110
10:20,6.785,6.785,6.784,6.784,358
10:21,6.796,6.863,6.79,6.8324,3837
10:22,6.83,6.83,6.83,6.83,675
10:23,6.8496,6.85,6.83,6.83,2253
10:24,6.8899,6.9,6.875,6.875,3692
10:25,6.88926,6.88926,6.8736,6.875,2707
10:26,6.8675,6.875,6.8675,6.875,1344
10:27,6.875,6.8957,6.875,6.8957,436
10:28,6.88,6.885,6.8058,6.87,13546
10:29,6.85,6.89,6.85,6.89,4316
10:30,6.85,6.89,6.85,6.8684,612
10:31,6.87,6.9,6.87,6.9,5532
10:32,6.88,6.9,6.88,6.8999,5017
10:33,6.876,6.885,6.87,6.885,1133
10:34,6.89,6.89,6.85,6.85,4342
10:35,6.84,6.84,6.8226,6.8226,482
10:37,6.827,6.827,6.77,6.779,8891
10:38,6.78,6.78,6.77,6.77,217
10:39,6.76,6.76,6.76,6.76,1565
10:40,6.752,6.79,6.75,6.79,4159
10:41,6.7824,6.8,6.77,6.77,453
10:42,6.79,6.8,6.79,6.8,263
10:43,6.79,6.87,6.79,6.87,6020
10:44,6.8147,6.8498,6.8,6.8498,9476
10:45,6.81,6.8317,6.81,6.8317,562
10:46,6.83,6.835,6.83,6.835,407
10:47,6.8262,6.84,6.8262,6.84,2526
10:48,6.85,6.85,6.845,6.85,589
10:49,6.85,6.85,6.85,6.85,1374
10:50,6.82,6.835,6.81,6.825,2157
10:51,6.825,6.83,6.825,6.825,836
10:52,6.82,6.82,6.78,6.82,3815
10:53,6.8,6.8,6.72,6.72,7115
10:54,6.72,6.745,6.72,6.745,634
