time,open,high,low,close,volume
09:30,4.36,4.36,4.25,4.25,5614
09:31,4.23,4.25,4.23,4.23,1506
09:34,4.1914,4.1914,4.1914,4.1914,327
10:00,4.19,4.19,4.19,4.19,478
10:36,4.1,4.1,4.1,4.1,200
10:39,4.14,4.14,4.14,4.14,1205
10:46,4.169,4.169,4.08,4.08,3100
10:59,4.1708,4.1708,4.1708,4.1708,1000
11:17,4.164,4.164,4.164,4.164,200
11:56,4.1,4.1,4.1,4.1,1000
12:45,4.05,4.05,4.05,4.05,210
13:03,4,4,4,4,300
13:05,4,4,4,4,1675
13:07,4,4.0002,3.96,4.0002,2920
13:18,4,4,4,4,1163
13:31,4.0422,4.0422,4.0422,4.0422,200
13:47,4,4.0001,4,4.0001,200
14:11,4.066,4.066,4.06,4.0601,1380
14:38,4.09,4.0902,4.09,4.0902,500
14:58,4.1116,4.1116,4.1116,4.1116,200
15:06,4.1362,4.1362,4.1362,4.1362,500
15:07,4.1499,4.1499,4.12,4.1499,626
15:12,4.1259,4.1259,4.1259,4.1259,500
15:13,4.1011,4.1011,4.1011,4.1011,500
15:14,4.1,4.1001,4.1,4.1001,1000
15:56,4.12,4.12,4.12,4.12,251
15:59,4.1,4.1,4.1,4.1,239
09:30,4.25,4.25,4.25,4.25,100
09:31,4.05,4.05,4.03,4.05,3850
09:32,4.08,4.08,4.08,4.08,500
09:33,4.13,4.13,4.13,4.13,1300
09:45,4.0982,4.0982,4.0982,4.0982,120
10:34,4.05,4.05,4.05,4.05,500
10:40,3.95,3.95,3.95,3.95,310
10:47,4,4.0002,4,4.0002,1000
11:29,4.1099,4.1099,4.1099,4.1099,150
11:31,4.11,4.11,4.11,4.11,150
11:33,4.1373,4.1373,4.1373,4.1373,170
11:50,4.1,4.1,4.1,4.1,250
12:17,4.05,4.0501,4.05,4.0501,200
14:28,4.07,4.07,4.07,4.07,100
15:42,4.15,4.15,4.15,4.15,500
