time,open,high,low,close,volume
09:30,1.14,1.14,1.14,1.14,5010
09:31,1.06,1.06,1.06,1.06,137
09:33,1.11,1.1499,1.1099,1.11,2050
09:35,1.06,1.0608,1.06,1.0608,792
09:41,1.0704,1.0704,1.0704,1.0704,1000
09:43,1.0704,1.0704,1.0704,1.0704,1700
09:44,1.08,1.08,1.08,1.08,227
09:45,1.12,1.12,1.0804,1.0804,463
09:52,1.06,1.06,1.06,1.06,975
09:55,1.0601,1.0601,1.0601,1.0601,600
09:56,1.07,1.07,1.07,1.07,250
10:00,1.06,1.06,1.06,1.06,201
10:17,1.06,1.06,1.06,1.06,538
10:20,1.06,1.06,1.06,1.06,2158
10:23,1.05,1.05,1.05,1.05,1700
10:24,1.05,1.05,1.05,1.05,1261
10:26,1.03,1.03,1.03,1.03,500
10:27,1.03,1.03,1.03,1.03,4700
10:28,1.04,1.04,1.03,1.03,2588
10:31,1.03,1.03,1.02,1.02,9947
10:32,1.03,1.03,1.03,1.03,209
10:36,1.024,1.024,1.024,1.024,1000
10:38,1.045,1.045,1.045,1.045,200
10:41,1.041,1.041,1.041,1.041,135
11:03,1.03,1.03,1.03,1.03,215
11:16,1.02,1.03,1.02,1.03,3841
11:19,1.03,1.03,1.03,1.03,2352
11:24,1.026579,1.026579,1.026579,1.026579,170
11:34,1.02,1.02,1.02,1.02,1555
11:35,1.0223,1.0223,1.0223,1.0223,220
11:39,1.034,1.034,1.034,1.034,266
11:43,1.02,1.02,1.02,1.02,100
11:45,1.025,1.025,1.02,1.02,2275
11:46,1.02,1.02,1.02,1.02,334
11:47,1.0225,1.0225,1.0225,1.0225,100
11:51,1.0351,1.0351,1.0303,1.0303,1011
11:57,1.03,1.0389,1.03,1.0389,3166
12:05,1.02,1.02,1.02,1.02,247
12:20,1.02,1.02,0.9976,0.9976,16196
12:22,1.01,1.01,1.01,1.01,955
12:23,1.0041,1.0041,1.0041,1.0041,208
12:33,1.0003,1.0003,1.0003,1.0003,1447
12:35,1,1.0001,1,1.0001,1057
12:36,1.0087,1.0087,1.0087,1.0087,2000
12:37,0.9875,0.9875,0.9719,0.9719,3792
12:38,0.99,0.99,0.99,0.99,200
12:46,1,1,1,1,599
12:51,1,1,1,1,370
12:55,1.0199,1.0199,1,1,1699
12:58,1.0002,1.0002,1.0002,1.0002,762
13:03,1,1,0.99,0.99,6988
13:06,0.9719,0.9719,0.9719,0.9719,13030
13:12,0.99,0.99,0.99,0.99,201
13:16,0.9894,0.9894,0.9894,0.9894,100
13:18,0.9899,0.9899,0.9848,0.9848,500
13:26,0.986,0.986,0.985,0.985,301
13:29,0.98,0.98,0.9612,0.9612,15000
13:30,0.9721,0.9721,0.9721,0.9721,214
13:31,0.972,0.972,0.9612,0.9612,1800
13:42,0.996,1,0.996,1,427
13:43,1.02,1.02,1.02,1.02,1000
13:44,1.016,1.016,1.016,1.016,400
13:50,1.01,1.01,1.01,1.01,400
13:53,1,1,1,1,100
13:54,1,1,1,1,1000
13:55,0.97,1,0.97,0.998,1185
13:57,0.998,0.998,0.998,0.998,1000
14:02,0.998,0.998,0.9825,0.998,1000
14:17,1,1,1,1,100
14:23,0.9965,0.9965,0.9965,0.9965,2800
14:29,1.01,1.01,1.01,1.01,100
14:31,0.995,0.995,0.995,0.995,501
14:44,1.01,1.01,1.01,1.01,1190
14:53,1.01,1.01,1.01,1.01,683
15:01,1,1,1,1,1134
15:05,0.98,0.98,0.9698,0.9699,2500
15:08,1.0198,1.0198,1.0198,1.0198,1000
15:25,1.0199,1.0199,1.0199,1.0199,1645
15:35,0.995,0.995,0.995,0.995,754
15:45,0.995,1,0.995,1,500
15:53,0.97,0.97,0.97,0.97,1645
15:54,1.0195,1.0199,1.0195,1.0199,2691
15:58,0.9701,0.995,0.9701,0.9925,1798
09:30,0.97,0.97,0.97,0.97,1077
09:40,0.9801,0.9801,0.9801,0.9801,573
09:43,0.98,0.98,0.98,0.98,400
09:45,0.9702,0.9702,0.97,0.9702,5908
09:48,0.9702,0.9702,0.9702,0.9702,187
09:52,0.9567,0.9567,0.9567,0.9567,1055
09:57,0.965,0.965,0.9567,0.9567,2800
10:00,0.965,0.965,0.9563,0.9563,405
10:01,0.9696,0.9696,0.9696,0.9696,1000
10:03,0.9643,0.9643,0.959,0.959,200
10:04,0.959,0.959,0.959,0.959,500
10:05,0.959,0.96,0.959,0.96,901
10:06,0.96,0.9607,0.956,0.9607,1445
10:08,0.9607,0.9607,0.9607,0.9607,494
10:09,0.9696,0.9696,0.9519,0.9519,2750
10:11,0.9519,0.9607,0.9519,0.9519,901
10:14,0.9512,0.9512,0.9512,0.9512,500
10:16,0.9512,0.9512,0.9512,0.9512,1787
10:18,0.9511,0.9511,0.946,0.95,9148
10:19,0.95,0.95,0.95,0.95,1000
10:21,0.9462,0.9462,0.9448,0.945,4559
10:25,0.945,0.945,0.9429,0.9429,1608
10:28,0.945,0.945,0.945,0.945,2000
10:30,0.945,0.945,0.945,0.945,1200
10:34,0.941301,0.94315,0.941301,0.94315,4302
10:36,0.9414,0.9414,0.9413,0.9413,557
10:42,0.9413,0.9413,0.9401,0.9401,4025
10:52,0.941999,0.941999,0.941999,0.941999,237
10:55,0.9401,0.9401,0.9401,0.9401,100
10:58,0.941,0.941,0.941,0.941,100
11:06,0.94,0.94,0.94,0.94,377
11:08,0.9402,0.9402,0.94,0.94,2000
11:11,0.942,0.942,0.942,0.942,100
11:23,0.942,0.942,0.942,0.942,1000
11:28,0.94,0.94,0.94,0.94,4198
11:29,0.9377,0.9377,0.9377,0.9377,100
11:33,0.94,0.94,0.937517,0.937517,581
11:40,0.9369,0.9369,0.9369,0.9369,100
11:42,0.9385,0.9385,0.9355,0.9355,661
11:47,0.935,0.935,0.935,0.935,200
11:52,0.9399,0.9399,0.9399,0.9399,100
11:57,0.9323,0.9323,0.9323,0.9323,220
12:00,0.9378,0.9378,0.93485,0.9378,301
12:01,0.9378,0.9378,0.93485,0.93485,700
12:02,0.9378,0.9378,0.936,0.936,1000
12:05,0.94,0.94,0.94,0.94,1596
12:07,0.94,0.94,0.94,0.94,3000
12:21,0.9399,0.9399,0.9399,0.9399,100
12:29,0.9381,0.9381,0.9381,0.9381,200
12:41,0.94,0.94,0.9381,0.9381,1002
12:42,0.9381,0.9381,0.9381,0.9381,217
12:45,0.93963,0.93963,0.93963,0.93963,158
12:46,0.94,0.94,0.94,0.94,100
12:47,0.9399,0.9399,0.9399,0.9399,165
12:49,0.938,0.938,0.938,0.938,500
12:54,0.9399,0.9399,0.9399,0.9399,390
13:13,0.9399,0.9399,0.9399,0.9399,1040
13:20,0.9398,0.9398,0.9398,0.9398,320
13:24,0.9396,0.9398,0.9396,0.9398,444
13:25,0.9398,0.9398,0.9398,0.9398,100
13:31,0.9397,0.9398,0.9397,0.9398,2998
13:32,0.94,0.94,0.9398,0.9398,1194
13:40,0.94,0.94,0.94,0.94,300
13:41,0.94,0.94,0.94,0.94,100
13:52,0.94,0.94,0.9399,0.94,524
13:53,0.94,0.94,0.94,0.94,1292
14:03,0.94,0.94,0.94,0.94,100
14:05,0.94,0.94,0.9399,0.9399,2187
14:06,0.94,0.94,0.94,0.94,5988
14:09,0.9449,0.95,0.9449,0.95,4500
14:12,0.95,0.95,0.95,0.95,193
14:13,0.95,0.95,0.95,0.95,1461
14:20,0.9695,0.9696,0.9695,0.9696,4800
14:28,0.969283,0.969283,0.969283,0.969283,1000
14:36,0.938,0.938,0.938,0.938,335
14:37,0.9695,0.9695,0.9695,0.9695,550
14:43,0.9595,0.9696,0.9595,0.9696,3200
14:44,0.9695,0.98,0.9695,0.98,2435
14:53,0.98,0.988,0.98,0.988,456
14:54,0.9837,0.9837,0.98,0.98,300
15:32,0.9551,0.9551,0.9551,0.9551,400
15:39,0.9715,0.9715,0.9715,0.9715,100
15:46,0.988,0.988,0.988,0.988,100
15:47,0.986,0.988,0.986,0.988,541
15:48,0.988,0.9908,0.988,0.9908,600
15:49,0.984,0.9985,0.984,0.9936,4974
15:51,0.9937,0.9941,0.9937,0.9938,404
15:52,0.9939,0.9939,0.9939,0.9939,300
15:53,0.994,0.9985,0.994,0.9985,3123
15:54,1,1.01,0.9998,1.009,15805
15:55,1.01,1.0199,1.01,1.0199,7100
15:56,1.02,1.02,1.02,1.02,1000
15:57,1.02,1.02,1.01,1.01,902
15:58,1.019,1.03,1.019,1.03,7353
15:59,1.025,1.025,1.02,1.02,7424
16:00,1.02,1.02,1.02,1.02,500
