time,open,high,low,close,volume
09:30,2.24,2.27,2.11,2.112498,240553
09:31,2.11,2.11,1.9801,2.0085,269466
09:32,2.02,2.12,1.995,2.0471,111702
09:33,2.0406,2.14,2.04,2.14,112549
09:34,2.13,2.13,2.08,2.1108,64530
09:35,2.11,2.2,2.06,2.17,85338
09:36,2.18,2.43,2.14,2.4298,357059
09:37,2.42,2.65,2.4,2.53,1128615.0
09:38,2.53,2.7099,2.48,2.4993,649587
09:39,2.5,2.6,2.49,2.6,273935
09:40,2.5901,2.6,2.265,2.3101,401654
09:41,2.32,2.3699,2.13,2.16,519009
09:42,2.165,2.4,2.14,2.3999,356621
09:43,2.395,2.52,2.3508,2.4893,291682
09:44,2.47,2.48,2.16,2.2501,326021
09:45,2.255,2.32,2.24,2.26,156444
09:46,2.25118,2.25118,2,2.0093,396824
09:47,2.0001,2.1695,1.98,2.1695,263202
09:48,2.16,2.175,2.1,2.14,100866
09:49,2.1309,2.14,2.09,2.14,47814
09:50,2.13,2.1699,2.12,2.15,44822
09:51,2.15,2.15,2.08,2.09,64429
09:52,2.08,2.15,2.06,2.11,117962
09:53,2.1101,2.16,2.1,2.1394,72965
09:54,2.1301,2.16,2.01,2.03,88014
09:55,2.0307,2.0798,2.02,2.0709,55351
09:56,2.07,2.12,2.0563,2.115,49016
09:57,2.1101,2.1398,2.09,2.119,37844
09:58,2.1108,2.1472,2.1108,2.12,31941
09:59,2.1107,2.1107,2.05,2.09,72201
10:00,2.09,2.125,2.08,2.1007,56411
10:01,2.11,2.18,2.09,2.1008,94651
10:02,2.1008,2.15,2.1008,2.118,51791
10:03,2.1,2.12,2.1,2.1,28426
10:04,2.0999,2.1,2.09,2.09,33124
10:05,2.0998,2.13,2.09,2.1,51079
10:06,2.105,2.1103,2.09,2.11,24050
10:07,2.11,2.14,2.11,2.14,55293
10:08,2.138,2.1399,2.1208,2.1208,27441
10:09,2.13,2.13,2.08,2.08,47347
10:10,2.09,2.09,2.05,2.07,39587
10:11,2.06,2.12,2.05,2.06,112520
10:12,2.06,2.08,2.06,2.07,28971
10:13,2.069,2.07,1.98,1.9801,82291
10:14,1.985,1.99,1.91,1.93,163444
10:15,1.925,1.925,1.75,1.83,316663
10:16,1.83,1.9,1.8299,1.9,81754
10:17,1.9107,1.92,1.88,1.9,69888
10:18,1.905,1.91,1.87,1.89,66523
10:19,1.89,1.95,1.87,1.915,76707
10:20,1.92,1.94,1.9193,1.93,22918
10:21,1.921,1.97,1.9,1.9607,54006
10:22,1.9689,1.97,1.91,1.92,34697
10:23,1.93,1.9593,1.92,1.94,20405
10:24,1.94,1.97,1.94,1.9506,18126
10:25,1.95,1.96,1.92,1.925,23995
10:26,1.92,1.9291,1.9,1.9,43343
10:27,1.9,1.905,1.88,1.88,29775
10:28,1.882,1.8895,1.87,1.8894,35545
10:29,1.8807,1.91,1.88,1.89,21801
10:30,1.8909,1.91,1.89,1.9009,10636
10:31,1.9093,1.92,1.9,1.9,17996
10:32,1.8951,1.8951,1.84,1.8557,40046
10:33,1.85,1.87,1.81,1.83,41169
10:34,1.82,1.86,1.82,1.8493,40146
10:35,1.841,1.8499,1.8,1.8,38416
10:36,1.8001,1.81,1.76,1.7798,87308
10:37,1.78,1.79,1.75,1.77,76028
10:38,1.7747,1.81,1.772,1.81,16704
10:39,1.8,1.83,1.8,1.83,22044
10:40,1.83,1.83,1.8,1.819,15360
10:41,1.81,1.82,1.8,1.8101,8886
10:42,1.81,1.82,1.78,1.785,15471
10:43,1.78,1.79,1.76,1.76,48323
10:44,1.76,1.77,1.76,1.77,14378
10:45,1.7694,1.85,1.7607,1.8407,99590
10:46,1.85,1.91,1.8408,1.905,30550
10:47,1.91,1.92,1.865,1.89,51634
10:48,1.8817,1.92,1.8817,1.9104,22986
10:49,1.915,1.92,1.87,1.87,20853
10:50,1.8607,1.87,1.82,1.85,34499
