time,open,high,low,close,volume
09:30,3.0489,3.0489,2.88,2.88,444
09:39,2.8,2.89,2.8,2.89,1098
09:40,2.89,2.89,2.84,2.84,4090
09:52,2.7793,2.7899,2.7793,2.7899,2800
09:55,2.86,2.86,2.86,2.86,300
10:06,2.88,2.89,2.88,2.89,250
11:08,2.8592,2.8592,2.8592,2.8592,200
11:22,2.81,2.81,2.8,2.8,1022
12:22,2.8,2.8,2.8,2.8,301
12:46,2.81,2.81,2.81,2.81,203
12:51,2.81,2.81,2.81,2.81,1193
13:17,2.88,2.8899,2.88,2.8899,3000
13:25,2.8859,2.8859,2.8859,2.8859,1000
13:26,2.89,2.89,2.89,2.89,274
13:53,2.91,2.91,2.91,2.91,100
14:50,2.91,2.91,2.91,2.91,106
15:42,2.91,2.91,2.91,2.91,100
15:52,2.8228,2.8228,2.8228,2.8228,150
