time,open,high,low,close,volume
09:30,3.35,3.35,3.35,3.35,222
09:33,3.3781,3.5401,3.37,3.37,1200
09:35,3.43,3.604,3.4,3.5,8555
09:36,3.4947,3.4947,3.3687,3.3687,2703
09:37,3.55,3.55,3.41,3.4112,2358
09:38,3.49,3.5,3.4101,3.5,3394
09:39,3.5,3.6,3.5,3.6,6358
09:40,3.6085,3.63,3.5,3.6,6697
09:41,3.6,3.6,3.52,3.52,1267
09:44,3.55,3.55,3.55,3.55,100
09:45,3.575,3.575,3.41,3.5586,2030
09:46,3.4284,3.505,3.4284,3.505,1098
09:47,3.5,3.5,3.5,3.5,119
09:48,3.455,3.49,3.455,3.4671,1172
09:49,3.5,3.5,3.5,3.5,891
09:53,3.55,3.55,3.53,3.53,725
09:54,3.55,3.55,3.55,3.55,452
09:56,3.5956,3.5956,3.5914,3.5914,3010
09:59,3.58,3.58,3.58,3.58,270
10:00,3.6,3.78,3.59,3.78,5860
10:01,3.72,3.84,3.72,3.82,4252
10:02,3.6914,3.7384,3.6914,3.7384,1500
10:03,3.74,3.84,3.73,3.785,1897
10:04,3.73,3.78,3.5601,3.5601,3422
10:05,3.5651,3.595,3.5001,3.5144,4038
10:06,3.5001,3.5001,3.399,3.435,3908
10:07,3.435,3.4846,3.4,3.4846,1589
10:08,3.39,3.39,3.39,3.39,338
10:09,3.34,3.35,3.34,3.35,1067
10:10,3.37,3.49,3.37,3.49,538
10:11,3.49,3.49,3.49,3.49,209
10:13,3.4989,3.4989,3.4989,3.4989,555
10:15,3.445,3.5,3.445,3.5,1200
10:25,3.5,3.5,3.5,3.5,151
10:26,3.445,3.445,3.445,3.445,310
10:27,3.445,3.445,3.445,3.445,650
10:28,3.4,3.4037,3.39,3.39,1284
10:29,3.4112,3.43,3.26,3.26,4516
10:36,3.41,3.41,3.41,3.41,1020
10:45,3.32,3.35,3.32,3.35,201
10:46,3.35,3.39,3.25,3.3,4536
10:48,3.37,3.37,3.37,3.37,252
11:02,3.37,3.37,3.37,3.37,200
11:03,3.3,3.35,3.3,3.33,1266
11:17,3.345,3.345,3.345,3.345,300
11:19,3.45,3.5,3.2,3.46,17095
11:20,3.5,3.6201,3.5,3.604543,7247
11:21,3.6,3.6775,3.6,3.6,25353
11:22,3.62,3.62,3.62,3.62,560
11:23,3.552,3.62,3.54,3.62,23551
11:24,3.5531,3.61,3.539342,3.61,3000
11:25,3.51,3.51,3.5,3.5,3881
11:26,3.575,3.575,3.5,3.5,20153
11:27,3.5,3.5,3.5,3.5,20055
11:30,3.51,3.51,3.367,3.367,7019
11:35,3.411,3.48,3.411,3.48,9388
11:36,3.42,3.42,3.38,3.38,42297
11:41,3.3887,3.39,3.38,3.38,1533
11:48,3.38,3.38,3.37,3.37,2719
11:54,3.38,3.38,3.37,3.37,1100
11:57,3.4381,3.4381,3.37,3.37,3201
12:00,3.37,3.37,3.37,3.37,1200
12:02,3.37,3.37,3.37,3.37,1101
12:05,3.37,3.39,3.37,3.37,2003
12:08,3.37,3.37,3.37,3.37,3199
12:09,3.38,3.38,3.3606,3.3606,804
12:10,3.33,3.33,3.3287,3.3287,1501
12:12,3.32,3.34,3.32,3.3206,1500
12:13,3.32,3.32,3.32,3.32,410
12:14,3.29,3.3,3.28,3.28,800
12:47,3.44,3.44,3.44,3.44,100
12:48,3.42,3.42,3.4006,3.4006,201
13:02,3.3752,3.3752,3.3752,3.3752,1000
14:04,3.3781,3.3781,3.3781,3.3781,150
14:58,3.4096,3.4096,3.4096,3.4096,300
15:14,3.48,3.48,3.48,3.48,470
15:17,3.48,3.49,3.48,3.49,635
15:24,3.5,3.53,3.5,3.53,1437
15:25,3.6055,3.6055,3.6055,3.6055,101
15:27,3.61,3.6799,3.51,3.51,10472
15:28,3.67,3.68,3.67,3.68,300
15:29,3.6792,3.6792,3.6792,3.6792,100
15:30,3.65,3.77,3.65,3.77,7758
15:31,3.66,3.66,3.66,3.66,1001
15:32,3.67,3.705,3.6,3.6,10145
15:33,3.5066,3.5066,3.5,3.5,406
15:35,3.7114,3.7114,3.7114,3.7114,200
15:38,3.71,3.71,3.595,3.7,459
15:39,3.71,3.71,3.71,3.71,101
15:40,3.7,3.7,3.7,3.7,500
15:45,3.7,3.7,3.7,3.7,110
15:50,3.57,3.57,3.57,3.57,270
15:51,3.63,3.74,3.63,3.74,4548
15:52,3.75,3.75,3.75,3.75,206
15:53,3.779,3.82,3.67,3.67,11564
15:54,3.82,3.82,3.705,3.705,750
15:56,3.7925,3.7925,3.7925,3.7925,100
15:59,3.6802,3.74,3.6802,3.7301,6044
